,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions
477,Jinchang,CN,38.4953,102.1739,48.83,42,100,4.25,overcast clouds
478,Soyo,AO,-6.1349,12.3689,78.66,84,97,4.16,overcast clouds
479,Jiaocheng,CN,24.6774,116.1389,68.5,91,100,2.06,light rain
480,Kushima,JP,31.4583,131.2333,66.2,63,20,4.61,few clouds
481,Beloha,MG,-25.1667,45.05,69.94,72,1,6.22,clear sky
482,Suntar,RU,62.1444,117.6319,36.72,84,100,4.25,overcast clouds
483,Paramonga,PE,-10.6667,-77.8333,67.06,87,10,7.99,clear sky
484,Tipperary,IE,52.4733,-8.1558,44.01,73,5,1.01,clear sky
485,Venice of the Philippines,PH,4.6628,119.3928,82.24,72,96,2.93,overcast clouds
486,Salisbury,GB,51.0693,-1.7957,44.6,65,1,6.91,clear sky
487,Tura,IN,25.5198,90.2201,73.54,40,66,4.34,broken clouds
488,Darhan,MN,49.4867,105.9228,39.74,91,100,6.91,light rain
489,Ponta Delgada,PT,37.7333,-25.6667,59.0,82,75,16.11,broken clouds
490,Homer,US,59.6425,-151.5483,55.4,38,20,5.75,few clouds
491,Vila do Maio,CV,15.1333,-23.2167,69.8,78,40,14.97,scattered clouds
492,Umm Kaddadah,SD,13.6017,26.6876,84.97,14,91,17.22,overcast clouds
493,Sitka,US,57.0531,-135.33,60.8,20,20,10.36,few clouds
494,Burgersdorp,ZA,-30.9977,26.3286,48.56,29,37,3.69,scattered clouds
495,Barranca,PE,-10.75,-77.7667,66.6,85,6,7.02,clear sky
496,Heze,CN,35.2431,115.4411,53.55,87,100,10.07,overcast clouds
497,Odesskoye,RU,54.2111,72.9651,41.61,48,100,13.09,overcast clouds
498,Alyangula,AU,-13.8483,136.4192,82.4,78,75,6.91,broken clouds
499,Arlit,NE,18.7369,7.3853,89.6,12,33,9.26,scattered clouds
500,Singaraja,ID,-8.112,115.0882,80.92,76,21,3.29,few clouds
501,Tazovsky,RU,67.4667,78.7,17.78,94,95,8.5,overcast clouds
502,Zgorzelec,PL,51.1494,15.0084,33.01,87,68,1.01,broken clouds
503,Mareeba,AU,-17.0,145.4333,77.0,94,90,12.66,overcast clouds
504,Nurota,UZ,40.5614,65.6886,59.0,41,25,11.5,scattered clouds
505,Anta,IN,25.15,76.3,77.2,16,70,6.15,broken clouds
506,Bushenyi,UG,-0.5853,30.2114,61.05,94,94,1.41,light rain
507,Korla,CN,41.7597,86.1469,41.4,59,23,21.36,few clouds
508,San Cristobal,VE,7.7669,-72.225,78.8,89,75,4.61,light intensity drizzle
509,Zabul Province,AF,32.25,67.25,60.35,11,1,7.63,clear sky
510,Dagana,MR,16.5165,-15.5068,80.6,47,0,6.91,clear sky
511,Channel-Port aux Basques,CA,47.5702,-59.1367,33.76,91,39,12.66,scattered clouds
512,Xai-Xai,MZ,-25.0519,33.6442,65.97,91,18,5.12,few clouds
513,Kautokeino,NO,69.0125,23.0412,14.2,90,97,7.76,overcast clouds
514,Kirakira,SB,-10.4544,161.9205,85.19,67,96,2.17,overcast clouds
515,Weyburn,CA,49.6668,-103.8511,46.4,18,33,10.36,scattered clouds
516,Comodoro Rivadavia,AR,-45.8667,-67.5,53.6,82,0,8.1,clear sky
517,Sovetskiy,RU,61.3614,63.5842,39.36,92,100,4.25,overcast clouds
518,Oranjestad,AW,12.524,-70.027,80.6,78,20,18.41,few clouds
519,Butterworth,MY,5.3991,100.3638,82.0,89,20,5.75,few clouds
520,Bondo,CD,3.8146,23.6866,68.31,99,100,2.3,overcast clouds
521,Luhyny,UA,51.082,28.4006,32.11,81,9,7.83,clear sky
522,Kumul,CN,42.8,93.45,41.34,36,96,23.47,overcast clouds
523,Camapuã,BR,-19.5314,-54.0439,75.18,30,43,3.4,scattered clouds
524,Maun,BW,-19.9833,23.4167,55.4,67,0,2.3,clear sky
525,Buraidah,SA,26.326,43.975,73.4,28,0,6.91,clear sky
526,Ziarat,PK,30.3823,67.7282,52.41,33,0,0.81,clear sky
527,Mbandaka,CD,0.0487,18.2603,69.3,97,23,3.49,few clouds
528,Utica,US,43.1009,-75.2327,57.2,38,1,3.44,clear sky
529,Sežana,SI,45.7092,13.8733,52.0,81,6,4.14,clear sky
530,Ekibastuz,KZ,51.6667,75.3667,41.47,40,100,11.77,overcast clouds
531,Naryan-Mar,RU,67.6713,53.087,36.99,84,99,9.19,overcast clouds
532,Opuwo,NA,-18.0607,13.84,68.86,48,52,3.53,broken clouds
533,Ananas,HT,19.2466,-71.9557,74.34,77,41,4.83,scattered clouds
534,Makaleng,BW,-20.9,27.2833,61.11,34,1,6.35,clear sky
535,Atar,MR,20.5169,-13.0499,80.35,14,0,4.34,clear sky
536,Novobirilyussy,RU,56.9514,90.6661,32.77,97,100,3.38,overcast clouds
537,Cacequi,BR,-29.8836,-54.825,65.79,95,100,5.23,overcast clouds
538,Katangli,RU,51.7102,143.2326,33.75,68,4,8.12,clear sky
539,La Plata,AR,-34.9215,-57.9545,63.0,83,0,10.83,clear sky
540,Esim,GH,4.8699,-2.2405,80.64,85,80,7.4,light rain
541,Guilin,CN,25.2819,110.2864,64.4,82,90,4.47,moderate rain
542,Makakilo City,US,21.3469,-158.0858,84.2,47,75,6.91,broken clouds
543,Amalāpuram,IN,16.5833,82.0167,77.67,88,0,1.97,clear sky
544,Kangaatsiaq,GL,68.3065,-53.4641,32.68,86,3,10.2,clear sky
545,Menomonie,US,44.8755,-91.9193,43.0,56,1,16.11,clear sky
546,Sīrjān,IR,29.452,55.6814,66.11,40,98,2.28,overcast clouds
547,Salme,NP,28.0369,85.0942,57.2,67,20,3.44,few clouds
548,Inndyr,NO,67.0338,14.0276,35.6,69,40,13.8,light snow
549,Wattegama,LK,6.7989,81.4808,73.47,93,37,1.86,scattered clouds
550,Alofi,NU,-19.0595,-169.9187,82.4,83,74,9.22,broken clouds
551,Aberdeen,GB,57.1437,-2.0981,36.0,93,74,1.14,broken clouds
552,Palmer,US,42.1584,-72.3287,62.6,29,40,9.22,scattered clouds
553,Broken Hill,AU,-31.95,141.4333,59.0,58,0,5.75,clear sky
554,Bolilao,PH,10.8833,122.7333,82.35,72,93,3.6,overcast clouds
555,Plovdiv,BG,42.15,24.75,48.0,93,100,3.44,overcast clouds
556,Kholm,RU,59.2667,32.85,33.89,90,100,5.06,light snow
557,Dakar,SN,14.6937,-17.4441,68.0,94,40,9.22,scattered clouds
558,Takayama,JP,36.1333,137.25,62.01,67,75,8.05,broken clouds
559,Prince Albert,CA,53.2001,-105.7677,41.0,26,75,10.36,broken clouds
560,Warrnambool,AU,-38.3833,142.4833,55.0,97,56,7.18,broken clouds
561,Distrikt Paramaribo,SR,5.8667,-55.1667,77.0,94,40,6.91,light rain
562,Apac,UG,1.9756,32.5386,65.82,97,98,3.29,light rain
563,Laramie,US,41.3114,-105.5911,55.4,21,20,17.27,few clouds
564,Anáhuac,MX,27.2333,-100.15,95.0,8,1,11.36,clear sky
565,Zapolyarnyy,RU,69.4154,30.8136,32.0,93,75,14.97,broken clouds
566,Manglisi,GE,41.697,44.3845,55.4,58,0,19.57,clear sky
567,Yerbogachën,RU,61.2767,108.0108,34.72,86,100,2.37,overcast clouds
568,Tres Picos,MX,15.8667,-93.5333,84.85,61,100,5.23,overcast clouds
569,Lusambo,CD,-4.9667,23.45,68.59,99,85,1.63,overcast clouds
570,Sorgun,TR,39.8101,35.186,47.3,86,100,6.17,overcast clouds
571,Pangnirtung,CA,66.1451,-65.7125,28.54,82,10,5.19,clear sky
572,Jambi City,ID,-1.6,103.6167,73.49,97,96,0.69,overcast clouds
573,Corrente,BR,-3.7367,-43.3394,73.33,97,97,3.27,light rain
574,Caniço,PT,32.6333,-16.85,60.8,72,40,2.3,scattered clouds
575,Mazatlán,MX,23.2167,-106.4167,86.0,42,20,14.97,few clouds
576,Thai Binh,VN,20.45,106.3333,80.6,89,90,5.75,overcast clouds
577,Goderich,CA,43.7501,-81.7165,55.4,44,100,8.05,overcast clouds
578,Clyde River,CA,70.4692,-68.5914,17.6,93,90,2.3,overcast clouds
579,Papetoai,PF,-17.4961,-149.8729,84.0,74,75,8.05,light rain
580,Liverpool,GB,53.4106,-2.9779,46.99,76,20,13.8,few clouds
581,Chipinge,ZW,-20.1883,32.6236,59.56,62,0,4.41,clear sky
582,Fakel,RU,57.6325,53.0252,40.77,95,100,9.62,light rain
583,Kidal,ML,18.4411,1.4078,86.05,8,0,7.4,clear sky
584,Rantauprapat,ID,2.1,99.8333,73.04,96,100,0.94,overcast clouds
585,Tarquinia,IT,42.2482,11.7553,48.2,93,0,4.61,clear sky
586,Pisco,PE,-13.7,-76.2167,66.99,88,0,17.27,clear sky
587,Cayenne,GF,4.9333,-52.3333,79.0,89,90,3.44,overcast clouds
588,Banyumas,ID,-7.5142,109.2942,78.21,78,35,1.79,scattered clouds
589,Kodinsk,RU,58.6881,99.1844,34.18,99,100,2.08,light snow
590,Oban,GB,56.4127,-5.4706,46.0,80,77,1.74,broken clouds
591,Trincomalee,LK,8.5711,81.2335,81.34,76,24,5.97,few clouds
592,Dingle,PH,10.9995,122.6711,82.44,70,97,1.32,overcast clouds
593,Kinablangan,PH,7.6947,126.5503,83.89,64,70,1.86,broken clouds
594,South Kazakhstan Region,KZ,43.0,68.0,57.83,45,1,4.85,clear sky
595,Stolin,BY,51.8912,26.846,33.62,88,76,7.0,broken clouds
596,Havre-St-Pierre,CA,50.2334,-63.5986,37.4,87,1,13.8,clear sky
597,Lewistown,US,40.5992,-77.5714,53.01,64,100,3.8,overcast clouds
598,Queanbeyan,AU,-35.35,149.2333,57.0,66,1,3.44,clear sky
599,Hay River,CA,60.8156,-115.7999,28.4,54,75,8.05,broken clouds
600,Liaocheng,CN,36.4439,115.9647,54.9,64,100,14.81,overcast clouds
601,Nogales,MX,31.3086,-110.9422,84.0,12,1,12.66,clear sky
602,Raipur,IN,21.2333,81.6333,81.99,19,0,1.39,clear sky
603,Archidona,ES,37.0965,-4.3887,57.99,93,100,3.0,overcast clouds
604,Gonder,ET,12.6,37.4667,64.74,51,86,5.75,overcast clouds
605,Harper,LR,4.375,-7.7169,81.14,82,95,7.74,light rain
606,Crixás,BR,-14.5489,-49.9692,74.08,64,29,2.39,scattered clouds
607,Ilula,TZ,-7.6766,36.0366,63.34,98,89,3.47,light rain
608,Asmara,ER,15.3333,38.9333,60.66,62,7,2.35,clear sky
609,Arinos,BR,-15.9169,-46.1056,72.9,56,7,2.8,clear sky
610,Rypefjord,NO,70.6333,23.6667,28.4,64,40,6.91,scattered clouds
611,Gamba,GA,-2.65,10.0,75.02,86,92,2.48,overcast clouds
612,Yavatmal,IN,20.4,78.1333,83.95,19,37,1.03,scattered clouds
613,Sukumo,JP,32.9333,132.7333,67.93,58,5,5.3,clear sky
614,Hilton Head,US,32.2163,-80.7526,66.0,94,90,12.66,heavy intensity rain
615,Aykhal,RU,66.0,111.5,27.52,90,99,5.73,overcast clouds
616,Gladstone,AU,-23.85,151.25,77.0,44,56,12.66,broken clouds
617,Impfondo,CG,1.6381,18.0667,71.2,89,50,3.36,scattered clouds
618,Grottammare,IT,42.9888,13.8649,41.0,81,18,5.75,few clouds
619,Tual,ID,-5.6667,132.75,84.88,65,100,14.97,overcast clouds
620,Watrous,CA,51.6668,-105.4679,41.0,19,100,6.91,overcast clouds
621,Diré,ML,12.2833,-10.9667,88.65,18,33,1.74,scattered clouds
622,Bolotnoye,RU,55.6717,84.3981,34.27,89,99,5.79,overcast clouds
623,Uchaly,RU,54.2996,59.4521,36.57,89,100,1.77,light rain
624,Kloulklubed,PW,7.0419,134.2556,86.0,74,75,14.97,broken clouds
625,Vazhiny,RU,60.9644,34.0222,36.45,97,100,7.7,overcast clouds
626,Keffi,NG,8.8486,7.8736,80.6,74,40,2.3,light rain
627,Mitsamiouli,KM,-11.3847,43.2844,81.0,74,99,9.98,overcast clouds
628,El Bagre,CO,7.5927,-74.8086,76.42,94,90,0.43,overcast clouds
629,Port Moresby,PG,-9.4431,147.1797,82.4,83,40,8.05,haze
630,Sigayevo,RU,56.4216,53.7757,42.01,94,100,5.01,overcast clouds
631,Nelson Bay,AU,-32.7167,152.15,66.0,63,3,11.5,clear sky
632,Tūkrah,LY,32.5341,20.5791,61.3,83,81,16.06,broken clouds
633,Baiyin,CN,36.5583,104.2081,44.6,76,90,6.71,overcast clouds
634,Araouane,ML,18.9048,-3.5265,90.37,12,71,7.85,broken clouds
635,Kutum,SD,14.2,24.6667,78.57,16,96,11.5,overcast clouds
636,Praia,CV,14.9215,-23.5087,69.8,78,40,14.97,scattered clouds
637,Kuah,MY,6.3265,99.8432,78.8,89,20,4.61,few clouds
638,Aquin,HT,18.2833,-73.4,77.23,79,7,2.93,clear sky
639,Tulun,RU,54.5611,100.5792,34.14,71,99,3.13,overcast clouds
640,Goianápolis,BR,-16.5106,-49.0239,71.6,73,0,2.3,clear sky
641,Yārāda,IN,17.65,83.2667,80.6,89,40,2.3,mist
642,Maniitsoq,GL,65.4167,-52.9,37.18,72,39,2.73,scattered clouds
643,Yeppoon,AU,-23.1333,150.7333,77.0,50,82,11.5,broken clouds
644,Matamoros,MX,25.5333,-103.25,86.0,6,1,5.75,clear sky
645,Pogar,RU,52.554,33.2591,31.39,80,22,11.03,few clouds
646,Broome,US,42.2506,-75.833,57.2,33,1,5.75,clear sky
647,Dodge City,US,37.7528,-100.0171,64.4,39,1,14.97,clear sky
648,Nouakchott,MR,18.0858,-15.9785,66.2,88,31,10.36,scattered clouds
649,Kiruna,SE,67.8557,20.2251,24.8,68,90,9.22,overcast clouds
650,Rio Grande,BR,-32.035,-52.0986,64.99,93,100,8.25,overcast clouds
651,Ciudad Bolivar,VE,8.1222,-63.5497,85.84,53,92,17.69,overcast clouds
652,Bandarbeyla,SO,9.4942,50.8122,82.36,77,36,6.04,light rain
653,Babaeski,TR,41.4325,27.0931,48.94,82,100,5.26,light rain
654,Spring Valley,US,36.108,-115.245,86.0,8,75,26.46,broken clouds
655,Joshīmath,IN,30.5667,79.5667,44.91,47,38,12.15,scattered clouds
656,Jiangyan,CN,32.5061,120.1428,66.0,94,100,7.83,overcast clouds
657,Arman',RU,59.7,150.1667,22.91,59,100,11.77,overcast clouds
658,Pedasí,PA,7.5333,-80.0333,82.51,76,76,11.52,broken clouds
659,Suez,EG,29.9737,32.5263,66.07,42,53,6.49,broken clouds
660,Sire,NG,12.9299,5.2043,84.06,38,98,8.28,overcast clouds
661,Charleston,US,32.7766,-79.9309,66.2,94,90,13.8,heavy intensity rain
662,Great Yarmouth,GB,52.6083,1.7305,44.01,93,75,3.44,broken clouds
663,Sayyan,YE,15.1718,44.3244,57.88,52,11,1.57,few clouds
664,Keelung,TW,25.1283,121.7419,77.0,73,75,11.5,broken clouds
665,Salani,IN,29.957,79.7127,55.35,39,30,6.17,scattered clouds
666,Kirensk,RU,57.7853,108.1119,35.47,98,100,4.5,light snow
667,Nantucket,US,41.2835,-70.0995,48.99,76,1,17.27,clear sky
668,Santa Cruz de La Palma,ES,28.6835,-17.7642,68.0,45,0,9.22,clear sky
669,Eilat,IL,29.5581,34.9482,75.2,43,0,6.91,clear sky
670,Sosnovo-Ozerskoye,RU,52.5249,111.5418,41.18,38,100,5.91,overcast clouds
671,Monteiro,BR,-7.8894,-37.12,71.94,74,50,6.29,scattered clouds
672,Rehoboth,NA,-23.3167,17.0833,62.2,33,15,1.68,few clouds
673,Launceston,AU,-41.45,147.1667,54.0,71,35,14.97,scattered clouds
674,Phayuha Khiri,TH,15.4553,100.1353,86.0,97,100,7.83,overcast clouds
675,Puerto Suárez,BO,-18.95,-57.8,72.39,91,99,8.79,light rain
676,Poya,NC,-21.35,165.15,76.46,81,100,7.27,overcast clouds
677,Fremont,US,37.5483,-121.9886,63.0,48,1,13.8,clear sky
678,Kendari,ID,-3.945,122.4989,80.1,80,8,2.84,clear sky
679,Lotoshino,RU,56.2267,35.6414,32.02,85,97,14.61,overcast clouds
680,Albanel,CA,48.8832,-72.4487,51.8,43,96,9.22,overcast clouds
681,Pilane,BW,-24.45,26.1333,55.4,58,0,4.61,clear sky
682,Marsabit,KE,2.3284,37.9899,67.64,71,88,8.77,overcast clouds
683,Coahuayana Viejo,MX,18.7333,-103.6833,80.6,36,1,5.57,clear sky
684,Marfino,RU,55.7028,37.3822,35.01,80,0,15.66,clear sky
685,Zhigansk,RU,66.7697,123.3711,33.37,99,100,6.89,light snow
686,Teya,RU,60.3778,92.6267,34.27,91,100,2.33,overcast clouds
687,Ligayan,PH,4.6533,119.4706,82.17,73,96,3.2,overcast clouds
688,Podujevo,XK,42.9106,21.1931,41.0,60,0,2.3,clear sky
689,Panlaitan,PH,12.1191,119.8486,82.11,73,78,6.98,broken clouds
690,Nur-Sultan,KZ,51.1801,71.446,37.4,48,0,11.18,clear sky
691,Bariloche,AR,-41.1456,-71.3082,52.0,61,0,6.91,clear sky
692,Russell,US,32.3502,-85.1999,66.2,94,90,8.05,overcast clouds
693,Kurayoshi,JP,35.4333,133.8167,62.6,63,75,5.75,broken clouds
694,Businga,CD,3.3333,20.8833,71.6,94,100,3.0,overcast clouds
695,Puri,IN,19.8,85.85,80.6,94,20,6.91,haze
696,Fasa,IR,28.9383,53.6482,60.8,51,0,4.61,clear sky
697,Roanoke Rapids,US,36.4615,-77.6542,53.6,100,90,8.05,moderate rain
698,Shimoda,JP,34.6667,138.95,66.2,68,40,14.97,scattered clouds
699,Marmora,IT,44.4583,7.094,55.99,87,28,4.61,scattered clouds
700,Lensk,RU,60.7253,114.9278,35.82,81,100,1.92,overcast clouds
701,Sur,OM,22.5667,59.5289,83.98,39,0,7.94,clear sky
702,Walvis Bay,NA,-22.9575,14.5053,57.2,94,11,2.3,few clouds
703,Moerai,PF,-22.4333,-151.3333,76.35,66,93,10.51,overcast clouds
704,Baturaja,ID,-4.1333,104.1667,74.35,87,99,1.25,overcast clouds
705,Grand Baie,MU,-20.0182,57.5802,77.0,84,100,8.99,light rain
706,Mitsuke,JP,37.5333,138.9333,55.99,77,100,1.01,light rain
707,Bubaque,GW,11.2833,-15.8333,78.53,65,3,19.6,clear sky
708,Lubango,AO,-14.9172,13.4925,61.12,71,94,2.04,overcast clouds
709,Talnakh,RU,69.4865,88.3972,14.27,95,99,9.13,overcast clouds
710,Imbituba,BR,-28.24,-48.6703,71.6,83,0,4.61,clear sky
711,Arrondissement de Saint-Denis,FR,48.9167,2.3333,53.01,53,0,11.5,clear sky
712,Bambanglipuro,ID,-7.95,110.2833,77.34,78,42,3.2,scattered clouds
713,Ca Mau,VN,9.1769,105.15,82.0,73,32,5.21,scattered clouds
714,Bekhtery,UA,46.251,32.2927,42.01,100,47,5.26,scattered clouds
715,La Santisima Trinidad,BO,-14.8333,-64.9,78.8,94,75,5.75,broken clouds
716,Surgut,RU,61.25,73.4167,30.2,100,100,2.24,overcast clouds
717,Agapovka,RU,53.2973,59.1348,37.4,100,90,2.24,mist
